user id,start day,end day,days,is_churner,
4739316,2018-06-12,2018-06-12,0,1,
741544,2018-06-12,2018-06-12,0,1,
23508913,2018-06-12,2018-06-12,0,1,
10580990,2018-06-12,2018-06-12,0,1,
1331395,2018-06-12,2018-06-12,0,1,
3670355,2018-06-12,2018-06-12,0,1,
95261,2018-06-12,2018-06-12,0,1,
3436324,2018-06-12,2018-06-12,0,1,
698354,2018-06-12,2018-06-12,0,1,
29215013,2018-06-12,2018-06-12,0,1,
3188305,2018-06-12,2018-06-12,0,1,
5461510,2018-06-12,2018-06-12,0,1,
1334817,2018-06-12,2018-06-19,7,1,
16269,2018-06-12,2018-06-19,7,1,
966205,2018-06-12,2018-06-19,7,1,
15447878,2018-06-12,2018-06-19,7,1,
16618851,2018-06-19,2018-06-19,0,1,
25137194,2018-06-19,2018-06-19,0,1,
23462596,2018-06-19,2018-06-19,0,1,
14919783,2018-06-19,2018-06-19,0,1,
111569,2018-06-19,2018-06-19,0,1,
1423092,2018-06-19,2018-06-19,0,1,
6581649,2018-06-19,2018-06-19,0,1,
7816743,2018-06-19,2018-06-19,0,1,
734513,2018-06-19,2018-06-19,0,1,
5371096,2018-06-12,2018-06-26,14,1,
10835742,2018-06-12,2018-06-26,14,1,
7924513,2018-06-12,2018-06-26,14,1,
3266040,2018-06-26,2018-06-26,0,1,
1821668,2018-06-26,2018-06-26,0,1,
7715425,2018-06-26,2018-06-26,0,1,
291370,2018-06-26,2018-06-26,0,1,
34557281,2018-06-19,2018-07-03,14,1,
36827708,2018-07-03,2018-07-03,0,1,
35419564,2018-07-03,2018-07-03,0,1,
15062408,2018-07-03,2018-07-03,0,1,
36614806,2018-06-12,2018-07-10,28,1,
5564376,2018-06-19,2018-07-10,21,1,
1312782,2018-06-19,2018-07-10,21,1,
13399445,2018-07-03,2018-07-10,7,1,
417664,2018-07-03,2018-07-10,7,1,
1642503,2018-07-10,2018-07-10,0,1,
19150867,2018-07-10,2018-07-10,0,1,
40896578,2018-07-10,2018-07-10,0,1,
2880070,2018-07-10,2018-07-10,0,1,
5593309,2018-07-10,2018-07-10,0,1,
26466563,2018-07-10,2018-07-10,0,1,
8808852,2018-07-10,2018-07-10,0,1,
27308330,2018-07-10,2018-07-10,0,1,
16931409,2018-07-10,2018-07-10,0,1,
7840618,2018-07-10,2018-07-10,0,1,
37308037,2018-07-10,2018-07-17,7,1,
3194426,2018-07-10,2018-07-17,7,1,
