user_id,start_day,end_day,
36614806,2018-06-10,2018-07-10,
8802018,2018-07-01,2018-07-31,
13320961,2018-07-08,2018-08-07,
4645175,2018-07-08,2018-08-07,
39497939,2018-07-15,2018-08-14,
13663916,2018-07-15,2018-08-14,
10778111,2018-07-15,2018-08-14,
19620810,2018-07-22,2018-08-21,
670556,2018-07-22,2018-08-21,
150102,2018-07-29,2018-08-28,
41319473,2018-08-05,2018-09-04,
8986994,2018-08-05,2018-09-04,
11830719,2018-08-12,2018-09-11,
141466,2018-08-12,2018-09-11,
1158677,2018-08-19,2018-09-18,
1960721,2018-08-19,2018-09-18,
2905978,2018-09-02,2018-10-02,
1446829,2018-09-09,2018-10-09,
29258916,2018-09-09,2018-10-09,
3607110,2018-09-09,2018-10-09,
795761,2018-09-09,2018-10-09,
595774,2018-09-16,2018-10-16,
1269759,2018-09-16,2018-10-16,
14010766,2018-09-16,2018-10-16,
15227113,2018-09-23,2018-10-23,
1479651,2018-09-23,2018-10-23,
13723264,2018-09-23,2018-10-23,
1117597,2018-10-07,2018-11-06,
1780348,2018-10-07,2018-11-06,
2459423,2018-10-07,2018-11-06,
20657639,2018-10-07,2018-11-06,
30693550,2018-10-07,2018-11-06,
1978793,2018-10-07,2018-11-06,
10642337,2018-10-14,2018-11-13,
228998,2018-11-04,2018-12-04,
1977850,2018-11-11,2018-12-11,
26376831,2018-12-09,2019-01-08,
23472876,2018-12-16,2019-01-15,
360368,2018-12-16,2019-01-15,
33703663,2018-12-16,2019-01-15,
125752,2018-12-23,2019-01-22,
33389420,2018-12-23,2019-01-22,
5720601,2018-12-30,2019-01-29,
41101284,2018-12-30,2019-01-29,
7774865,2018-12-30,2019-01-29,
32715765,2019-01-13,2019-02-12,
13010957,2019-01-20,2019-02-19,
20353159,2019-02-17,2019-03-19,
9649417,2019-03-03,2019-04-02,
634688,2019-03-03,2019-04-02,
21102285,2019-03-03,2019-04-02,
18662115,2019-03-10,2019-04-09,
10644973,2019-03-17,2019-04-16,
42042991,2019-03-24,2019-04-23,
1803970,2019-03-24,2019-04-23,
11355765,2019-03-31,2019-04-30,
559024,2019-03-31,2019-04-30,
5435299,2019-04-07,2019-05-07,
8517355,2019-04-14,2019-05-14,
5356490,2019-04-14,2019-05-14,
44790853,2019-04-14,2019-05-14,
21269549,2019-05-05,2019-06-04,
25254389,2019-05-05,2019-06-04,
6099874,2019-05-12,2019-06-11,
822522,2019-05-12,2019-06-11,
15791501,2019-05-12,2019-06-11,
183459,2019-05-12,2019-06-11,
8986994,2019-05-19,2019-06-18,
3478847,2019-05-19,2019-06-18,
8255422,2019-05-19,2019-06-18,
18219926,2019-05-19,2019-06-18,
111569,2019-05-26,2019-06-25,
31962564,2019-05-26,2019-06-25,
6635910,2019-05-26,2019-06-25,
39306745,2019-05-26,2019-06-25,
12450485,2019-06-02,2019-07-02,
1584318,2019-06-09,2019-07-09,
21148145,2019-06-09,2019-07-09,
6261900,2019-06-09,2019-07-09,
10114176,2019-06-16,2019-07-16,
6984066,2019-06-16,2019-07-16,
15046660,2019-06-23,2019-07-23,
16749003,2019-06-23,2019-07-23,
899144,2019-06-23,2019-07-23,
1120261,2019-06-23,2019-07-23,
5712203,2019-06-30,2019-07-30,
13970565,2019-06-30,2019-07-30,
4524702,2019-06-30,2019-07-30,
4810706,2019-06-30,2019-07-30,
32604809,2019-06-30,2019-07-30,
32520302,2019-07-07,2019-08-06,
1403304,2019-07-07,2019-08-06,
17152264,2019-07-07,2019-08-06,
10477073,2019-07-07,2019-08-06,
2320737,2019-07-14,2019-08-13,
51172624,2019-07-21,2019-08-20,
51378244,2019-07-21,2019-08-20,
33153091,2019-07-21,2019-08-20,
3246445,2019-07-21,2019-08-20,
10778111,2019-07-28,2019-08-27,
18537688,2019-07-28,2019-08-27,
45159179,2019-07-28,2019-08-27,
6854491,2019-07-28,2019-08-27,
313191,2019-07-28,2019-08-27,
4492809,2019-08-04,2019-09-03,
125752,2019-08-04,2019-09-03,
4297204,2019-08-04,2019-09-03,
4393655,2019-08-04,2019-09-03,
502371,2019-08-04,2019-09-03,
49397448,2019-08-11,2019-09-10,
22400245,2019-08-11,2019-09-10,
14793026,2019-08-11,2019-09-10,
40757147,2019-08-11,2019-09-10,
1447507,2019-08-11,2019-09-10,
1646690,2019-08-11,2019-09-10,
8537877,2019-08-11,2019-09-10,
5582151,2019-08-18,2019-09-17,
479998,2019-08-18,2019-09-17,
12530856,2019-08-18,2019-09-17,
24239452,2019-08-18,2019-09-17,
47035943,2019-08-18,2019-09-17,
5612252,2019-08-18,2019-09-17,
52183359,2019-08-18,2019-09-17,
171075,2019-08-18,2019-09-17,
10137,2019-08-25,2019-09-24,
5312198,2019-08-25,2019-09-24,
37936015,2019-08-25,2019-09-24,
6277851,2019-08-25,2019-09-24,
34395503,2019-09-01,2019-10-01,
5501191,2019-09-01,2019-10-01,
30757857,2019-09-01,2019-10-01,
357418,2019-09-01,2019-10-01,
1103731,2019-09-01,2019-10-01,
7363758,2019-09-08,2019-10-08,
7436938,2019-09-15,2019-10-15,
9855,2019-09-15,2019-10-15,
52786222,2019-09-22,2019-10-22,
18494493,2019-09-22,2019-10-22,
7926657,2019-09-22,2019-10-22,
23187108,2019-09-22,2019-10-22,
829644,2019-09-22,2019-10-22,
2179853,2019-09-29,2019-10-29,
22605641,2019-09-29,2019-10-29,
1516634,2019-09-29,2019-10-29,
11009167,2019-09-29,2019-10-29,
8487569,2019-09-29,2019-10-29,
36706320,2019-09-29,2019-10-29,
4562436,2019-10-06,2019-11-05,
39490863,2019-10-06,2019-11-05,
13801078,2019-10-06,2019-11-05,
634688,2019-10-13,2019-11-12,
70274,2019-10-13,2019-11-12,
3709715,2019-10-20,2019-11-19,
8398819,2019-10-20,2019-11-19,
48142586,2019-10-20,2019-11-19,
28828606,2019-10-20,2019-11-19,
1241516,2019-10-27,2019-11-26,
29878050,2019-10-27,2019-11-26,
10835742,2019-11-03,2019-12-03,
57264800,2019-11-03,2019-12-03,
53812472,2019-11-10,2019-12-10,
7513460,2019-11-10,2019-12-10,
33271777,2019-11-10,2019-12-10,
6162841,2019-11-17,2019-12-17,
218145,2019-11-17,2019-12-17,
7270751,2019-11-17,2019-12-17,
1618862,2019-11-17,2019-12-17,
7233744,2019-11-17,2019-12-17,
32404415,2019-11-17,2019-12-17,
55083197,2019-11-24,2019-12-24,
7779466,2019-11-24,2019-12-24,
6540837,2019-12-01,2019-12-31,
4731542,2019-12-01,2019-12-31,
822522,2019-12-08,2020-01-07,
1425269,2019-12-15,2020-01-14,
19519104,2019-12-15,2020-01-14,
1257916,2019-12-15,2020-01-14,
36421850,2019-12-15,2020-01-14,
24326299,2019-12-15,2020-01-14,
5285727,2019-12-22,2020-01-21,
424192,2019-12-22,2020-01-21,
44206483,2019-12-22,2020-01-21,
9005118,2019-12-22,2020-01-21,
1996146,2019-12-22,2020-01-21,
5461137,2019-12-22,2020-01-21,
4146535,2019-12-22,2020-01-21,
52063794,2019-12-29,2020-01-28,
46193609,2019-12-29,2020-01-28,
5712203,2020-01-05,2020-02-04,
5888932,2020-01-05,2020-02-04,
1470603,2020-01-05,2020-02-04,
38106881,2020-01-05,2020-02-04,
10226261,2020-01-05,2020-02-04,
2557200,2020-01-12,2020-02-11,
18666312,2020-01-26,2020-02-25,
1993103,2020-01-26,2020-02-25,
4592235,2020-01-26,2020-02-25,
56433390,2020-01-26,2020-02-25,
15968047,2020-01-26,2020-02-25,
36884713,2020-02-09,2020-03-10,
36628133,2020-02-09,2020-03-10,
369631,2020-02-09,2020-03-10,
11019190,2020-02-16,2020-03-17,
2241676,2020-02-16,2020-03-17,
718384,2020-02-23,2020-03-24,
33908456,2020-02-23,2020-03-24,
20482960,2020-03-01,2020-03-31,
6980238,2020-03-01,2020-03-31,
940521,2020-03-01,2020-03-31,
829644,2020-03-08,2020-04-07,
6035284,2020-03-08,2020-04-07,
26059962,2020-03-08,2020-04-07,
24755707,2020-03-08,2020-04-07,
6380834,2020-03-08,2020-04-07,
19634923,2020-03-08,2020-04-07,
17162407,2020-03-08,2020-04-07,
9991536,2020-03-08,2020-04-07,
61064875,2020-03-15,2020-04-14,
17132214,2020-03-15,2020-04-14,
49148943,2020-03-15,2020-04-14,
23096288,2020-03-15,2020-04-14,
6368040,2020-03-22,2020-04-21,
26384082,2020-03-22,2020-04-21,
2346494,2020-03-22,2020-04-21,
8417,2020-03-22,2020-04-21,
6062071,2020-03-22,2020-04-21,
13316262,2020-03-22,2020-04-21,
9828683,2020-03-22,2020-04-21,
23198776,2020-03-22,2020-04-21,
1735545,2020-03-22,2020-04-21,
5236035,2020-03-22,2020-04-21,
228859,2020-03-29,2020-04-28,
26224290,2020-03-29,2020-04-28,
1577620,2020-03-29,2020-04-28,
9466385,2020-03-29,2020-04-28,
23487805,2020-03-29,2020-04-28,
38705255,2020-04-05,2020-05-05,
525590,2020-04-05,2020-05-05,
863327,2020-04-05,2020-05-05,
3056077,2020-04-05,2020-05-05,
26698408,2020-04-05,2020-05-05,
5921306,2020-04-05,2020-05-05,
8729935,2020-04-05,2020-05-05,
26911733,2020-04-05,2020-05-05,
8223335,2020-04-12,2020-05-12,
38863,2020-04-12,2020-05-12,
8655789,2020-04-19,2020-05-19,
1241516,2020-04-19,2020-05-19,
5720601,2020-04-26,2020-05-26,
9397454,2020-04-26,2020-05-26,
3833456,2020-04-26,2020-05-26,
37936015,2020-05-03,2020-06-02,
20668349,2020-05-03,2020-06-02,
18707623,2020-05-10,2020-06-09,
25859225,2020-05-10,2020-06-09,
5024543,2020-05-10,2020-06-09,
12560808,2020-05-10,2020-06-09,
22605641,2020-05-17,2020-06-16,
36062071,2020-05-17,2020-06-16,
10606312,2020-05-17,2020-06-16,
16749003,2020-05-24,2020-06-23,
229382,2020-05-31,2020-06-30,
12852045,2020-05-31,2020-06-30,
3730708,2020-05-31,2020-06-30,
984304,2020-05-31,2020-06-30,
111569,2020-06-07,2020-07-07,
30065079,2020-06-07,2020-07-07,
23654732,2020-06-07,2020-07-07,
4209122,2020-06-07,2020-07-07,
35175443,2020-06-07,2020-07-07,
595774,2020-06-14,2020-07-14,
7363758,2020-06-14,2020-07-14,
13761737,2020-06-14,2020-07-14,
2205288,2020-06-14,2020-07-14,
4522842,2020-06-14,2020-07-14,
7591857,2020-06-14,2020-07-14,
2626260,2020-06-14,2020-07-14,
