user_id,start_day,end_day,
1117597,2018-04-09,2018-08-07,
1780348,2018-04-09,2018-08-07,
10642337,2018-04-16,2018-08-14,
228998,2018-05-07,2018-09-04,
3478847,2018-11-19,2019-03-19,
3478847,2018-07-22,2018-11-19,
8255422,2018-11-19,2019-03-19,
8255422,2018-07-22,2018-11-19,
1584318,2018-12-10,2019-04-09,
15046660,2018-12-24,2019-04-23,
5712203,2018-12-31,2019-04-30,
13970565,2018-12-31,2019-04-30,
4524702,2018-12-31,2019-04-30,
4492809,2019-02-04,2019-06-04,
4492809,2018-10-07,2019-02-04,
4492809,2018-06-09,2018-10-07,
125752,2019-02-04,2019-06-04,
5582151,2019-02-18,2019-06-18,
5582151,2018-10-21,2019-02-18,
5582151,2018-06-23,2018-10-21,
12530856,2019-02-18,2019-06-18,
10137,2019-02-25,2019-06-25,
5312198,2019-02-25,2019-06-25,
7363758,2019-03-11,2019-07-09,
2179853,2019-04-01,2019-07-30,
2179853,2018-12-02,2019-04-01,
70274,2019-04-15,2019-08-13,
10835742,2019-05-06,2019-09-03,
53812472,2019-05-13,2019-09-10,
6540837,2019-06-03,2019-10-01,
6540837,2019-02-03,2019-06-03,
4731542,2019-06-03,2019-10-01,
1425269,2019-06-17,2019-10-15,
1425269,2019-02-17,2019-06-17,
1425269,2018-10-20,2019-02-17,
5285727,2019-06-24,2019-10-22,
5888932,2019-07-08,2019-11-05,
1470603,2019-07-08,2019-11-05,
18666312,2019-07-29,2019-11-26,
18666312,2019-03-31,2019-07-29,
36884713,2019-08-12,2019-12-10,
2241676,2019-08-19,2019-12-17,
718384,2019-08-26,2019-12-24,
20482960,2019-09-02,2019-12-31,
20482960,2019-05-05,2019-09-02,
20482960,2019-01-05,2019-05-05,
20482960,2018-09-07,2019-01-05,
20482960,2018-05-10,2018-09-07,
940521,2019-09-02,2019-12-31,
6035284,2019-09-09,2020-01-07,
6368040,2019-09-23,2020-01-21,
26384082,2019-09-23,2020-01-21,
2346494,2019-09-23,2020-01-21,
228859,2019-09-30,2020-01-28,
228859,2019-06-02,2019-09-30,
228859,2019-02-02,2019-06-02,
228859,2018-10-05,2019-02-02,
228859,2018-06-07,2018-10-05,
525590,2019-10-07,2020-02-04,
863327,2019-10-07,2020-02-04,
3056077,2019-10-07,2020-02-04,
8223335,2019-10-14,2020-02-11,
8655789,2019-10-21,2020-02-18,
8655789,2019-06-23,2019-10-21,
8655789,2019-02-23,2019-06-23,
8655789,2018-10-26,2019-02-23,
8655789,2018-06-28,2018-10-26,
9397454,2019-10-28,2020-02-25,
18707623,2019-11-11,2020-03-10,
